Leg,Site,H,Cor,T,   Sc,LL(m),CL(m),Top(mbsf),Comment
105, 647,A,  1,R,    1, 1.50, 1.50,     0.00,"GAS SAMPLE AT 143 CM."
105, 647,A,  1,R,    2, 1.50, 1.50,     1.50,"(DB) 90-150CM VOID"
105, 647,A,  1,R,    3, 1.50, 1.50,     3.00,"VOID - NO MUD."
105, 647,A,  1,R,    4, 1.50, 1.50,     4.50,"VOID - NO MUD."
105, 647,A,  1,R,    5, 1.50, 1.50,     6.00,"I.W. FROM 140-150 CM INTEVAL."
105, 647,A,  1,R,    6, 1.50, 1.50,     7.50,
105, 647,A,  1,R,    7, 0.17, 0.17,     9.00,
105, 647,A,  1,R,CC(7), 0.07, 0.07,     9.17,
105, 647,A,  2,R,    1, 1.50, 1.50,     9.20,
105, 647,A,  2,R,    2, 1.50, 1.50,    10.70,"(DB) VOID 0-17, 90-140CM"
105, 647,A,  2,R,    3, 1.50, 1.50,    12.20,"VOID - NO MUD."
105, 647,A,  2,R,    4, 1.50, 1.50,    13.70,"VOID - NO MUD."
105, 647,A,  2,R,    5, 1.50, 1.50,    15.20,"VOID - NO MUD."
105, 647,A,  2,R,    6, 1.50, 1.50,    16.70,
105, 647,A,  2,R,    7, 0.12, 0.12,    18.20,
105, 647,A,  2,R,CC(7), 0.08, 0.08,    18.32,
105, 647,A,  4,R,    1, 1.50, 1.50,    28.60,
105, 647,A,  4,R,    2, 1.50, 1.50,    30.10,
105, 647,A,  4,R,    3, 1.50, 1.50,    31.60,"OG 120-150 CM"
105, 647,A,  4,R,    4, 1.50, 1.50,    33.10,"(DB) VOID 10-35CM"
105, 647,A,  4,R,    5, 1.50, 1.50,    34.60,"(DB) VOID 0-20, 140-150CM"
105, 647,A,  4,R,    6, 1.50, 1.50,    36.10,"(DB) VOID 0-45CM"
105, 647,A,  4,R,    7, 0.71, 0.71,    37.60,"(DB) VOID 0-20CM"
105, 647,A,  4,R,CC(7), 0.13, 0.13,    38.31,
105, 647,A,  5,R,    1, 0.30, 0.30,    38.10,
105, 647,A,  6,R,    1, 1.50, 1.50,    48.60,
105, 647,A,  6,R,    2, 1.50, 1.50,    50.10,
105, 647,A,  6,R,    3, 1.50, 1.50,    51.60,
105, 647,A,  6,R,    4, 1.50, 1.50,    53.10,
105, 647,A,  6,R,    5, 1.50, 1.50,    54.60,"IW AT 140-150CM (DB) Y ADDED"
105, 647,A,  6,R,    6, 1.50, 1.50,    56.10,
105, 647,A,  6,R,    7, 0.06, 0.06,    57.60,
105, 647,A,  6,R,CC(7), 0.11, 0.11,    57.66,
105, 647,A,  7,R,    1, 1.50, 1.50,    58.30,
105, 647,A,  7,R,    2, 1.50, 1.50,    59.80,
105, 647,A,  7,R,    3, 1.50, 1.50,    61.30,
105, 647,A,  7,R,    4, 1.50, 1.50,    62.80,
105, 647,A,  7,R,    5, 1.50, 1.50,    64.30,"OG 120-150 CM"
105, 647,A,  7,R,    6, 1.50, 1.50,    65.80,
105, 647,A,  7,R,    7, 0.54, 0.54,    67.30,
105, 647,A,  7,R,CC(7), 0.09, 0.09,    67.84,
105, 647,A,  8,R,    1, 1.50, 1.50,    68.00,
105, 647,A,  8,R,    2, 1.50, 1.50,    69.50,
105, 647,A,  8,R,    3, 0.77, 0.77,    71.00,
105, 647,A,  8,R,CC(3), 0.16, 0.16,    71.77,
105, 647,A,  9,R,    1, 1.50, 1.50,    77.60,"(DB) VOID 140-150CM"
105, 647,A,  9,R,    2, 1.50, 1.50,    79.10,"IW AT 140-150 CM (DB) Y ADDED"
105, 647,A,  9,R,    3, 1.50, 1.50,    80.60,"(DB) VOID 100-140CM"
105, 647,A,  9,R,    4, 0.31, 0.31,    82.10,
105, 647,A,  9,R,CC(4), 0.10, 0.10,    82.41,
105, 647,A, 10,R,    1, 1.50, 1.50,    87.30,
105, 647,A, 10,R,    2, 1.50, 1.50,    88.80,
105, 647,A, 10,R,    3, 1.50, 1.50,    90.30,"OG 120-150"
105, 647,A, 10,R,    4, 1.50, 1.50,    91.80,
105, 647,A, 10,R,    5, 0.44, 0.44,    93.30,
105, 647,A, 10,R,CC(5), 0.13, 0.13,    93.74,
105, 647,A, 11,R,    1, 1.50, 1.50,    97.00,
105, 647,A, 11,R,    2, 1.50, 1.50,    98.50,"GAS SAMPLE AT 8 CM."
105, 647,A, 11,R,    3, 1.50, 1.50,   100.00,
105, 647,A, 11,R,    4, 0.83, 0.83,   101.50,
105, 647,A, 12,R,    1, 1.50, 1.50,   106.70,
105, 647,A, 12,R,    2, 1.50, 1.50,   108.20,
105, 647,A, 12,R,    3, 1.50, 1.50,   109.70,"I.W. FROM 140-150 CM. GAS SAMPLE AT 40 CM."
105, 647,A, 12,R,    4, 1.20, 1.20,   111.20,
105, 647,A, 13,R,    1, 1.50, 1.50,   116.00,
105, 647,A, 13,R,    2, 1.50, 1.50,   117.50,
105, 647,A, 13,R,    3, 1.50, 1.50,   119.00,
105, 647,A, 13,R,    4, 1.50, 1.50,   120.50,"O.G. FROM 120-150 CM INTERVAL."
105, 647,A, 13,R,    5, 1.50, 1.50,   122.00,
105, 647,A, 13,R,   CC, 0.08, 0.08,   123.50,
105, 647,A, 14,R,    1, 1.50, 1.50,   125.70,
105, 647,A, 14,R,    2, 1.50, 1.50,   127.20,"GAS SAMPLE AT 35 CM. (DB) VOID 85-115CM"
105, 647,A, 14,R,    3, 0.40, 0.40,   128.70,
105, 647,A, 15,R,    1, 1.50, 1.50,   135.40,"GAS SAMPLE AT 80 CM."
105, 647,A, 15,R,    2, 1.50, 1.50,   136.90,"I.W. FROM BOTTOM 10 CM. OF SECTION."
105, 647,A, 15,R,    3, 0.82, 0.82,   138.40,
105, 647,A, 16,R,    1, 1.50, 1.50,   145.10,
105, 647,A, 16,R,    2, 1.50, 1.50,   146.60,"GAS SAMPLE AT 40 CM."
105, 647,A, 16,R,    3, 0.40, 0.40,   148.10,
105, 647,A, 17,R,    1, 1.50, 1.50,   154.80,
105, 647,A, 17,R,    2, 1.50, 1.50,   156.30,"GAS SAMPLE AT 28 CM."
105, 647,A, 17,R,    3, 1.50, 1.50,   157.80,
105, 647,A, 17,R,    4, 1.50, 1.50,   159.30,"O.G. FROM 120-150 CM. INTERVAL."
105, 647,A, 17,R,    5, 1.50, 1.50,   160.80,
105, 647,A, 17,R,    6, 0.36, 0.36,   162.30,
105, 647,A, 18,R,    1, 1.18, 1.18,   164.10,
105, 647,A, 18,R,    2, 1.24, 1.24,   165.28,
